HALL CONDUCTANCE COEFFICIENTS
From Zihan Wang

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
90.0    0.0     6.04    6.44    17.08   5.01    0.00    0.00    
90.0    1.0     6.04    6.44    17.08   5.01    0.00    0.00    
90.0    2.0     6.04    6.44    17.08   5.01    0.00    0.00    
90.0    3.0     6.04    6.44    17.08   5.01    0.00    0.00    
90.0    4.0     6.04    6.44    17.08   5.01    0.00    0.00    
90.0    5.0     6.04    6.44    17.08   5.01    0.00    0.00    
90.0    6.0     7.37    8.46    13.00   2.08    0.00    0.00    
90.0    7.0     7.37    8.46    13.00   2.08    0.00    0.00    
90.0    8.0     7.37    8.46    13.00   2.08    0.00    0.00    
90.0    9.0     7.37    8.46    13.00   2.08    0.00    0.00    
90.0    10.0    7.37    8.46    13.00   2.08    0.00    0.00    
90.0    11.0    7.37    8.46    13.00   2.08    0.00    0.00    
90.0    12.0    7.08    8.14    3.26    2.12    0.00    0.00    
90.0    13.0    7.08    8.14    3.26    2.12    0.00    0.00    
90.0    14.0    7.08    8.14    3.26    2.12    0.00    0.00    
90.0    15.0    7.08    8.14    3.26    2.12    0.00    0.00    
90.0    16.0    7.08    8.14    3.26    2.12    0.00    0.00    
90.0    17.0    7.08    8.14    3.26    2.12    0.00    0.00    
90.0    18.0    4.74    5.31    13.72   2.36    0.00    0.00    
90.0    19.0    4.74    5.31    13.72   2.36    0.00    0.00    
90.0    20.0    4.74    5.31    13.72   2.36    0.00    0.00    
90.0    21.0    4.74    5.31    13.72   2.36    0.00    0.00    
90.0    22.0    4.74    5.31    13.72   2.36    0.00    0.00    
90.0    23.0    4.74    5.31    13.72   2.36    0.00    0.00    
