PEDERSEN CONDUCTANCE COEFFICIENTS
From Zihan Wang

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
90.0    0.0     5.02    5.37    16.90   4.01    0.00    0.00    
90.0    1.0     5.21    5.56    17.93   4.21    0.00    0.00    
90.0    2.0     5.47    5.86    18.53   4.32    0.00    0.00    
90.0    3.0     5.79    6.24    18.67   4.33    0.00    0.00    
90.0    4.0     6.15    6.67    18.34   4.25    0.00    0.00    
90.0    5.0     6.52    7.14    17.57   4.07    0.00    0.00    
90.0    6.0     6.87    7.60    16.39   3.81    0.00    0.00    
90.0    7.0     7.19    8.03    14.91   3.49    0.00    0.00    
90.0    8.0     7.44    8.39    13.20   3.13    0.00    0.00    
90.0    9.0     7.62    8.66    11.40   2.75    0.00    0.00    
90.0    10.0    7.71    8.83    9.63    2.39    0.00    0.00    
90.0    11.0    7.70    8.88    8.00    2.05    0.00    0.00    
90.0    12.0    7.60    8.80    6.62    1.77    0.00    0.00    
90.0    13.0    7.41    8.61    5.60    1.57    0.00    0.00    
90.0    14.0    7.15    8.32    5.00    1.46    0.00    0.00    
90.0    15.0    6.82    7.94    4.86    1.45    0.00    0.00    
90.0    16.0    6.47    7.50    5.18    1.53    0.00    0.00    
90.0    17.0    6.10    7.04    5.96    1.71    0.00    0.00    
90.0    18.0    5.74    6.58    7.13    1.97    0.00    0.00    
90.0    19.0    5.43    6.15    8.62    2.29    0.00    0.00    
90.0    20.0    5.17    5.79    10.32   2.65    0.00    0.00    
90.0    21.0    5.00    5.51    12.12   3.03    0.00    0.00    
90.0    22.0    4.91    5.35    13.90   3.40    0.00    0.00    
90.0    23.0    4.91    5.30    15.53   3.73    0.00    0.00    
88.0    0.0     5.02    5.37    16.90   4.01    0.00    0.00    
88.0    1.0     5.21    5.56    17.93   4.21    0.00    0.00    
88.0    2.0     5.47    5.86    18.53   4.32    0.00    0.00    
88.0    3.0     5.79    6.24    18.67   4.33    0.00    0.00    
88.0    4.0     6.15    6.67    18.34   4.25    0.00    0.00    
88.0    5.0     6.52    7.14    17.57   4.07    0.00    0.00    
88.0    6.0     6.87    7.60    16.39   3.81    0.00    0.00    
88.0    7.0     7.19    8.03    14.91   3.49    0.00    0.00    
88.0    8.0     7.44    8.39    13.20   3.13    0.00    0.00    
88.0    9.0     7.62    8.66    11.40   2.75    0.00    0.00    
88.0    10.0    7.71    8.83    9.63    2.39    0.00    0.00    
88.0    11.0    7.70    8.88    8.00    2.05    0.00    0.00    
88.0    12.0    7.60    8.80    6.62    1.77    0.00    0.00    
88.0    13.0    7.41    8.61    5.60    1.57    0.00    0.00    
88.0    14.0    7.15    8.32    5.00    1.46    0.00    0.00    
88.0    15.0    6.82    7.94    4.86    1.45    0.00    0.00    
88.0    16.0    6.47    7.50    5.18    1.53    0.00    0.00    
88.0    17.0    6.10    7.04    5.96    1.71    0.00    0.00    
88.0    18.0    5.74    6.58    7.13    1.97    0.00    0.00    
88.0    19.0    5.43    6.15    8.62    2.29    0.00    0.00    
88.0    20.0    5.17    5.79    10.32   2.65    0.00    0.00    
88.0    21.0    5.00    5.51    12.12   3.03    0.00    0.00    
88.0    22.0    4.91    5.35    13.90   3.40    0.00    0.00    
88.0    23.0    4.91    5.30    15.53   3.73    0.00    0.00      
