HALL CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
90.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
90.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
90.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
90.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
90.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
90.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
90.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
90.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
90.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
90.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
90.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
90.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
90.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
90.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
90.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
90.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
90.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
90.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
90.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
90.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
90.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
90.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
90.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
90.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
88.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
88.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
88.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
88.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
88.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
88.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
88.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
88.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
88.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
88.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
88.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
88.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
88.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
88.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
88.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
88.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
88.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
88.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
88.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
88.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
88.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
88.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
88.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
88.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
86.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
86.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
86.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
86.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
86.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
86.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
86.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
86.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
86.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
86.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
86.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
86.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
86.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
86.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
86.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
86.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
86.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
86.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
86.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
86.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
86.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
86.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
86.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
86.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
84.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
84.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
84.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
84.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
84.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
84.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
84.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
84.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
84.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
84.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
84.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
84.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
84.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
