PEDERSEN CONDUCTANCE COEFFICIENTS
From Zihan Wang

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
90.0    0.0     3.73    3.82    8.43    4.09    0.00    0.00    
90.0    1.0     3.86    3.88    8.09    4.13    0.00    0.00    
90.0    2.0     4.01    3.97    7.54    4.06    0.00    0.00    
90.0    3.0     4.18    4.09    6.80    3.88    0.00    0.00    
90.0    4.0     4.35    4.24    5.93    3.61    0.00    0.00    
90.0    5.0     4.52    4.40    4.99    3.27    0.00    0.00    
90.0    6.0     4.67    4.56    4.04    2.87    0.00    0.00    
90.0    7.0     4.79    4.71    3.15    2.45    0.00    0.00    
90.0    8.0     4.88    4.85    2.38    2.03    0.00    0.00    
90.0    9.0     4.92    4.95    1.78    1.64    0.00    0.00    
90.0    10.0    4.92    5.02    1.39    1.32    0.00    0.00    
90.0    11.0    4.87    5.05    1.24    1.07    0.00    0.00    
90.0    12.0    4.78    5.04    1.34    0.92    0.00    0.00    
90.0    13.0    4.65    4.99    1.68    0.88    0.00    0.00    
90.0    14.0    4.50    4.90    2.24    0.95    0.00    0.00    
90.0    15.0    4.33    4.77    2.98    1.13    0.00    0.00    
90.0    16.0    4.15    4.62    3.85    1.40    0.00    0.00    
90.0    17.0    3.99    4.46    4.78    1.75    0.00    0.00    
90.0    18.0    3.84    4.30    5.73    2.14    0.00    0.00    
90.0    19.0    3.72    4.15    6.62    2.57    0.00    0.00    
90.0    20.0    3.63    4.02    7.39    2.98    0.00    0.00    
90.0    21.0    3.59    3.91    7.99    3.37    0.00    0.00    
90.0    22.0    3.59    3.84    8.38    3.70    0.00    0.00    
90.0    23.0    3.64    3.81    8.53    3.94    0.00    0.00    
88.0    0.0     3.73    3.82    8.43    4.09    0.00    0.00    
88.0    1.0     3.86    3.88    8.09    4.13    0.00    0.00    
88.0    2.0     4.01    3.97    7.54    4.06    0.00    0.00    
88.0    3.0     4.18    4.09    6.80    3.88    0.00    0.00    
88.0    4.0     4.35    4.24    5.93    3.61    0.00    0.00    
88.0    5.0     4.52    4.40    4.99    3.27    0.00    0.00    
88.0    6.0     4.67    4.56    4.04    2.87    0.00    0.00    
88.0    7.0     4.79    4.71    3.15    2.45    0.00    0.00    
88.0    8.0     4.88    4.85    2.38    2.03    0.00    0.00    
88.0    9.0     4.92    4.95    1.78    1.64    0.00    0.00    
88.0    10.0    4.92    5.02    1.39    1.32    0.00    0.00    
88.0    11.0    4.87    5.05    1.24    1.07    0.00    0.00    
88.0    12.0    4.78    5.04    1.34    0.92    0.00    0.00    
88.0    13.0    4.65    4.99    1.68    0.88    0.00    0.00    
88.0    14.0    4.50    4.90    2.24    0.95    0.00    0.00    
88.0    15.0    4.33    4.77    2.98    1.13    0.00    0.00    
88.0    16.0    4.15    4.62    3.85    1.40    0.00    0.00    
88.0    17.0    3.99    4.46    4.78    1.75    0.00    0.00    
88.0    18.0    3.84    4.30    5.73    2.14    0.00    0.00    
88.0    19.0    3.72    4.15    6.62    2.57    0.00    0.00    
88.0    20.0    3.63    4.02    7.39    2.98    0.00    0.00    
88.0    21.0    3.59    3.91    7.99    3.37    0.00    0.00    
88.0    22.0    3.59    3.84    8.38    3.70    0.00    0.00    
88.0    23.0    3.64    3.81    8.53    3.94    0.00    0.00    
